world.xinhua08.com	19.583272787774103	413	291	199536	0	93000	0	1
360baogao.com	20.111210426566142	52	8	623039	0	363000	32	1
jjckb.cn	20.466716460145598	0	0	468447	0	0	0	7
analysys.cn	20.48637499171206	2055	338	None	0	13300	0	1
accenture.com	20.563871348904122	3035	1495	None	0	0	0	4
chinamining.org.cn	20.566628160558842	0	0	None	0	0	0	6
iresearch.com.cn	20.566628160558842	0	0	None	0	0	0	6
realestate.cei.gov.cn	20.835983073103606	0	0	140031	0	0	0	6
businessinsider.com	20.838753715072702	1683	595	None	0	0	0	4
currency.cnforex.com	20.995443127123703	0	0	24886	0	0	0	5
gold.cnforex.com	20.995443127123703	0	0	24886	0	0	0	5
quote.fx678.com	21.142788444923603	1753	1271	None	0	6250	32	1
bitecoin.com	21.89507854451736	92	46	322460	0	25900	0	1
co.cnwnews.com	22.031053836595216	0	0	9298	0	0	0	4
capitalweek.com.cn	22.07027714314121	0	0	655063	0	0	0	6
cbinsights.com	22.108134958831425	0	0	None	0	0	0	5
futures.cfi.cn	22.108134958831425	0	0	None	0	0	0	5
bjbusiness.com.cn	22.291455728167918	0	0	863682	0	0	0	6
nielsen.com	23.130506139023247	1259	700	None	0	0	0	3
sbsc.stock.cnfol.com	23.145900654635714	1226	659	None	0	0	0	3
jiaju.cc	23.172650345286378	1178	585	None	0	0	0	3
licai.xiejing.com	23.193109929950058	0	0	534404	8832	8830	10	0
data.stcn.com	23.474697977858956	541	287	None	0	0	0	3
quotes.cnfol.com	23.52392775915841	671	61	None	0	0	0	3
hbr.org	23.628055747454496	416	148	None	0	0	0	3
xinpi.stcn.com	23.63375994394216	339	217	None	0	0	0	3
venturebeat.com	23.777354302465692	235	153	None	0	0	0	3
agri.cn	23.881024963069304	1536	708	273472	0	0	0	3
finance.123.com.cn	24.01859080483761	111	7	18364	0	341000	9	0
news.1nongjing.com	24.239583681133794	1	0	472927	0	18400	5	1
global.eastmoney.com	24.277628132363258	295	210	4491	0	47800	10	0
money.123.com.cn	24.32224975357984	599	45	18364	0	128000	21	0
business.chinanews.com	24.34871556479705	11	6	4223	0	161000	0	0
pinglun.fx678.com	24.559785314550705	253	167	None	0	463000	1580	0
rmb.xinhua08.com	24.786469466769702	179	91	199536	0	0	12	2
forex.cfi.cn	25.122795141312686	116	21	None	0	0	6	2
yocajr.com	25.215562295525864	371	176	None	0	217000	0	0
finance.chinadaily.com.cn	25.321392934442688	16	10	317	0	6520	0	0
cj1.com.cn	25.348837102855615	110	50	None	0	156000	154000	0
mp.cnfol.com	25.717637662235422	412	288	None	0	119000	24	0
cnfol.hk	25.971320809238502	36	20	None	0	252000	0	0
xinsanban.10jqka.com.cn	26.00397099476525	103	57	None	0	161000	5	0
kx.fx678.com	26.082293608584155	69	33	None	0	178000	0	0
time-weekly.com	26.56914133660424	432	189	357056	0	13500	134000	0
forex.fx168.com	26.756231377228623	114	75	None	0	71000	17	0
weiyangx.com	26.758586377287337	1375	819	None	0	0	25	1
iof.hexun.com	26.86884015399533	512	34	None	0	41500	68	0
investorchina.com.cn	27.054468912326918	76	66	None	0	0	0	2
wwv.cyzone.cn	27.154068971432938	484	16	None	32370	0	0	0
technologyreview.com	27.155794683905945	75	35	None	0	0	0	2
futures.xinhua08.com	27.187759482821455	268	139	199536	0	0	0	2
stock.qlmoney.com	27.345370050598348	183	115	333337	0	86100	8	0
itfin.17ok.com	27.7791158433464	10	5	426	0	869	2	0
news.jrzj.com	28.07526334455543	105	25	None	0	22000	34	0
economy.nbd.com.cn	28.349973500495228	34	10	27922	0	9250	0	0
ipo.xiejing.com	28.37149183288145	79	11	534404	18112	0	3	0
stock.xiejing.com	28.46317984266674	37	9	534404	0	86100	0	0
lqz.cn	28.640323424840233	863	605	2326766	0	0	0	2
data.hexun.com	28.67037474406262	95	48	None	0	11700	0	0
weekly.caixin.com	28.70623459082261	76	0	None	0	14500	0	0
money.17ok.com	28.727468950551838	0	0	426	0	0	0	1
www2.deloitte.com	28.792504861518612	0	0	None	0	75600	0	0
datanews.caixin.com	29.24385356131081	130	10	None	0	6640	9	0
gongxiangcj.com	29.43179865081907	146	46	237548	0	9710	0	0
gbiz.caixin.com	29.435279013768824	46	2	None	0	8380	0	0
tech.cheaa.com	29.486610213889215	22	0	5277	0	0	0	1
finance.stcn.com	29.62164932483769	37	15	None	0	6740	0	0
data.ccstock.cn	29.68197723755617	1	0	315673	0	0	0	2
gegu.xiejing.com	29.842056487317098	16	15	534404	25289	0	0	0
mckinsey.com.cn	30.147174416562777	991	592	None	0	0	0	1
